trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-061_2023I12_1_1_4__6_1__,par_4_106,par_4_107,106.0,110,111
4_I12-061_2023I12_1_1_4__6_1__,par_4_107,par_4_108,98.0,111,112
4_I12-061_2023I12_1_1_4__6_1__,par_4_108,par_4_109,135.0,112,113
4_I12-061_2023I12_1_1_4__6_1__,par_4_109,par_4_110,138.0,113,114
4_I12-061_2023I12_1_1_4__6_1__,par_4_110,par_4_259,93.0,114,135
4_I12-061_2023I12_1_1_4__6_1__,par_4_259,par_4_111,111.0,135,115
4_I12-061_2023I12_1_1_4__6_1__,par_4_111,par_4_112,121.0,115,116
4_I12-061_2023I12_1_1_4__6_1__,par_4_112,par_4_113,104.0,116,117
4_I12-061_2023I12_1_1_4__6_1__,par_4_113,par_4_114,115.0,117,118
4_I12-061_2023I12_1_1_4__6_1__,par_4_114,par_4_115,108.0,118,119
4_I12-061_2023I12_1_1_4__6_1__,par_4_115,par_4_116,86.0,119,120
4_I12-061_2023I12_1_1_4__6_1__,par_4_116,par_4_117,105.0,120,121
4_I12-061_2023I12_1_1_4__6_1__,par_4_117,par_4_118,98.0,121,122
4_I12-061_2023I12_1_1_4__6_1__,par_4_118,par_4_119,123.0,122,123
4_I12-061_2023I12_1_1_4__6_1__,par_4_119,par_4_120,133.0,123,124
4_I12-061_2023I12_1_1_4__6_1__,par_4_120,par_4_121,106.0,124,125
4_I12-061_2023I12_1_1_4__6_1__,par_4_121,par_4_122,105.0,125,126
4_I12-061_2023I12_1_1_4__6_1__,par_4_122,par_4_123,90.0,126,127
4_I12-061_2023I12_1_1_4__6_1__,par_4_123,par_4_124,96.0,127,128
4_I12-061_2023I12_1_1_4__6_1__,par_4_124,par_4_125,186.0,128,129
4_I12-061_2023I12_1_1_4__6_1__,par_4_125,par_4_126,77.0,129,130
4_I12-061_2023I12_1_1_4__6_1__,par_4_126,par_4_127,190.0,130,131
4_I12-061_2023I12_1_1_4__6_1__,par_4_127,par_4_128,161.0,131,132
4_I12-061_2023I12_1_1_4__6_1__,par_4_128,par_4_129,144.0,132,133
4_I12-061_2023I12_1_1_4__6_1__,par_4_129,par_4_130,131.0,133,134
4_I12-061_2023I12_1_1_4__6_1__,par_4_130,par_4_104,110.0,134,108
4_I12-062_2023I12_1_1_4__6_2__,par_4_104,par_4_130,110.0,108,134
4_I12-062_2023I12_1_1_4__6_2__,par_4_130,par_4_129,132.0,134,133
4_I12-062_2023I12_1_1_4__6_2__,par_4_129,par_4_128,144.0,133,132
4_I12-062_2023I12_1_1_4__6_2__,par_4_128,par_4_127,162.0,132,131
4_I12-062_2023I12_1_1_4__6_2__,par_4_127,par_4_126,191.0,131,130
4_I12-062_2023I12_1_1_4__6_2__,par_4_126,par_4_125,76.0,130,129
4_I12-062_2023I12_1_1_4__6_2__,par_4_125,par_4_124,187.0,129,128
4_I12-062_2023I12_1_1_4__6_2__,par_4_124,par_4_123,97.0,128,127
4_I12-062_2023I12_1_1_4__6_2__,par_4_123,par_4_122,90.0,127,126
4_I12-062_2023I12_1_1_4__6_2__,par_4_122,par_4_121,105.0,126,125
4_I12-062_2023I12_1_1_4__6_2__,par_4_121,par_4_120,107.0,125,124
4_I12-062_2023I12_1_1_4__6_2__,par_4_120,par_4_119,134.0,124,123
4_I12-062_2023I12_1_1_4__6_2__,par_4_119,par_4_118,123.0,123,122
4_I12-062_2023I12_1_1_4__6_2__,par_4_118,par_4_117,99.0,122,121
4_I12-062_2023I12_1_1_4__6_2__,par_4_117,par_4_116,105.0,121,120
4_I12-062_2023I12_1_1_4__6_2__,par_4_116,par_4_115,86.0,120,119
4_I12-062_2023I12_1_1_4__6_2__,par_4_115,par_4_114,108.0,119,118
4_I12-062_2023I12_1_1_4__6_2__,par_4_114,par_4_113,117.0,118,117
4_I12-062_2023I12_1_1_4__6_2__,par_4_113,par_4_112,103.0,117,116
4_I12-062_2023I12_1_1_4__6_2__,par_4_112,par_4_111,121.0,116,115
4_I12-062_2023I12_1_1_4__6_2__,par_4_111,par_4_259,111.0,115,135
4_I12-062_2023I12_1_1_4__6_2__,par_4_259,par_4_110,94.0,135,114
4_I12-062_2023I12_1_1_4__6_2__,par_4_110,par_4_109,139.0,114,113
4_I12-062_2023I12_1_1_4__6_2__,par_4_109,par_4_108,134.0,113,112
4_I12-062_2023I12_1_1_4__6_2__,par_4_108,par_4_107,98.0,112,111
4_I12-062_2023I12_1_1_4__6_2__,par_4_107,par_4_106,107.0,111,110
4_I12-062_2023I12_1_1_4__6_2__,par_4_106,par_4_105,126.0,110,109
4_I12-062_2023I12_1_1_4__6_2__,par_4_105,par_4_104,98.0,109,108
4_I12-071_2023I12_1_1_4__7_A__,par_4_286,par_4_132,123.0,159,136
4_I12-071_2023I12_1_1_4__7_A__,par_4_132,par_4_133,113.0,136,137
4_I12-071_2023I12_1_1_4__7_A__,par_4_133,par_4_134,110.0,137,138
4_I12-071_2023I12_1_1_4__7_A__,par_4_134,par_4_135,105.0,138,139
4_I12-071_2023I12_1_1_4__7_A__,par_4_135,par_4_136,102.0,139,140
4_I12-071_2023I12_1_1_4__7_A__,par_4_136,par_4_137,93.0,140,141
4_I12-071_2023I12_1_1_4__7_A__,par_4_137,par_4_138,126.0,141,142
